id,club_id,match_id,players_id,matchperiod,eventsec,eventname,action,modifier,x_begin,y_begin,x_end,y_end,is_success
2183711,6,985,287,2H,2119.625755,Duel,Ground loose ball duel,lost,80,36,73.0,17.0,f
2183727,59,985,1314,2H,2179.808848,Duel,Ground loose ball duel,lost,71,27,68.0,21.0,f
2183740,59,985,403,2H,2297.1302800000003,Others on the ball,Clearance,,14,38,55.0,87.0,f
2183763,6,985,287,2H,2359.2342740000004,Duel,Ground attacking duel,lost,88,44,76.0,30.0,f
2183784,6,985,359,2H,2482.107469,Duel,Ground attacking duel,lost,86,80,88.0,87.0,f
2183808,6,985,3234,2H,2557.861556,Duel,Air duel,lost,43,17,38.0,18.0,f
2183835,6,985,442,2H,2704.681791,Pass,Simple pass,,71,70,87.0,90.0,f
2183859,59,985,575,2H,2828.562897,Pass,Cross,Left,94,7,89.0,26.0,f
2183876,59,985,403,2H,2871.275977,Others on the ball,Clearance,interception,2,33,0.0,28.0,f
2182597,6,985,1242,1H,22.01483300000001,Duel,Ground loose ball duel,lost,56,89,61.0,76.0,f
2182615,6,985,282,1H,54.918966000000005,Duel,Air duel,lost,29,21,19.0,14.0,f
2182628,6,985,2162,1H,89.05312600000002,Pass,Cross,blocked,95,1,100.0,100.0,f
2182644,6,985,3234,1H,233.381567,Duel,Ground defending duel,lost,36,31,37.0,36.0,f
2182666,6,985,3234,1H,420.898856,Duel,Air duel,lost,33,13,23.0,12.0,f
2182683,6,985,378,1H,493.99439500000005,Duel,Air duel,lost,88,35,88.0,14.0,f
2182692,59,985,311,1H,509.798554,Pass,Simple pass,,27,88,31.0,96.0,f
2182710,59,985,1460,1H,551.981258,Pass,Head pass,interception,22,19,9.0,0.0,f
2182723,59,985,389,1H,603.489004,Duel,Ground loose ball duel,lost,42,11,46.0,3.0,f
2182739,59,985,403,1H,652.356041,Pass,Launch,,25,48,54.0,36.0,f
2182750,59,985,2065,1H,686.286273,Duel,Ground defending duel,lost,9,14,5.0,11.0,f
2182768,6,985,2162,1H,756.135349,Duel,Ground attacking duel,lost,37,5,41.0,12.0,f
2182777,59,985,71,1H,810.410987,Others on the ball,Clearance,,22,15,18.0,0.0,f
2182795,6,985,2162,1H,942.257375,Free Kick,Throw in,,32,0,48.0,58.0,f
2182814,6,985,282,1H,1030.918012,Duel,Air duel,lost,37,8,39.0,27.0,f
2182839,6,985,287,1H,1084.859272,Shot,Shot,or,92,39,100.0,100.0,f
2182850,59,985,389,1H,1188.058798,Shot,Shot,obr,72,52,0.0,0.0,f
2182863,6,985,3234,1H,1249.072346,Others on the ball,Clearance,,18,74,17.0,100.0,f
2182878,6,985,2162,1H,1373.634282,Duel,Ground defending duel,lost,34,4,33.0,4.0,f
2182894,6,985,359,1H,1404.656582,Pass,High pass,,73,98,79.0,76.0,f
2182911,59,985,311,1H,1456.580383,Shot,Shot,olb,74,53,0.0,0.0,f
2182933,6,985,2162,1H,1543.601577,Pass,Cross,high,87,6,100.0,70.0,f
2182948,6,985,2162,1H,1643.110631,Free Kick,Corner,high,100,0,94.0,37.0,f
2182966,59,985,2065,1H,1691.901658,Duel,Air duel,lost,33,13,14.0,11.0,f
2182975,6,985,1839,1H,1706.911595,Pass,Simple pass,,68,70,69.0,74.0,f
2182993,6,985,287,1H,1757.807252,Duel,Ground loose ball duel,lost,93,37,92.0,33.0,f
