,2678,2679
Date,2018-05-20 18:45:00,2018-05-20 18:45:00
Club,Lazio,Internazionale
Club_ADV,Internazionale,Lazio
ADV_Act_Tot_def_2H_5,863.0,539.0
ADV_Act_Tot_def_2H_3,512.0,257.0
ADV_Act_Tot_def_2H_1,208.0,76.0
ADV_Act_Tot_def_3H_5,1750.0,1208.0
ADV_Act_Tot_def_3H_3,984.0,611.0
ADV_Act_Tot_def_3H_1,411.0,169.0
ADV_Gar_Tot_1H_5,6.0,6.0
ADV_Gar_Tot_1H_3,2.0,3.0
ADV_Gar_Tot_1H_1,1.0,1.0
ADV_Gar_Tot_2H_5,6.0,5.0
ADV_Gar_Tot_2H_3,5.0,5.0
ADV_Gar_Tot_2H_1,2.0,2.0
ADV_Gar_Tot_3H_5,12.0,11.0
ADV_Gar_Tot_3H_3,7.0,8.0
ADV_Gar_Tot_3H_1,3.0,3.0
ADV_Fte_Tot_1H_5,5.0,4.0
ADV_Fte_Tot_1H_3,4.0,3.0
ADV_Fte_Tot_1H_1,0.0,2.0
ADV_Fte_Tot_2H_5,4.0,4.0
ADV_Fte_Tot_2H_3,2.0,4.0
ADV_Fte_Tot_2H_1,0.0,2.0
ADV_Fte_Tot_3H_5,9.0,8.0
ADV_Fte_Tot_3H_3,6.0,7.0
ADV_Fte_Tot_3H_1,0.0,4.0
ADV_Pass_Tot_1H_5,21.0,41.0
ADV_Pass_Tot_1H_3,7.0,20.0
ADV_Pass_Tot_1H_1,5.0,6.0
ADV_Pass_Tot_2H_5,19.0,36.0
ADV_Pass_Tot_2H_3,11.0,14.0
ADV_Pass_Tot_2H_1,3.0,4.0
ADV_Pass_Tot_3H_5,40.0,77.0
ADV_Pass_Tot_3H_3,18.0,34.0
ADV_Pass_Tot_3H_1,8.0,10.0
ADV_Tirs_Tot_1H_5,17.0,14.0
ADV_Tirs_Tot_1H_3,7.0,7.0
ADV_Tirs_Tot_1H_1,5.0,0.0
ADV_Tirs_Tot_2H_5,25.0,19.0
ADV_Tirs_Tot_2H_3,16.0,5.0
ADV_Tirs_Tot_2H_1,11.0,0.0
ADV_Tirs_Tot_3H_5,42.0,33.0
ADV_Tirs_Tot_3H_3,23.0,12.0
ADV_Tirs_Tot_3H_1,16.0,0.0
