,Dom_Ext,CLB_Nb_jours,ADV_Nb_jours,Écart_Série_vic,Écart_Série_vic_5,Écart_Série_vic_3,Écart_Série_vic_1,Écart_Buts_diff,Écart_Buts_diff_5,Écart_Buts_diff_3,Écart_Buts_diff_1,Écart_Buts_pour,Écart_Buts_pour_5,Écart_Buts_pour_3,Écart_Buts_pour_1,Écart_Buts_contre,Écart_Buts_contre_5,Écart_Buts_contre_3,Écart_Buts_contre_1,Écart_Activité_att_5,Écart_Activité_att_3,Écart_Activité_att_1,Écart_Activité_def_5,Écart_Activité_def_3,Écart_Activité_def_1,Écart_Arrêts_5,Écart_Arrêts_3,Écart_Arrêts_1,Écart_Fautes_5,Écart_Fautes_3,Écart_Fautes_1,Écart_Passes_5,Écart_Passes_3,Écart_Passes_1,Écart_Tirs_5,Écart_Tirs_3,Écart_Tirs_1,[Résultat],[CLB_Buts],[ADV_Buts]
426,1.0,7.0,6.0,1.0,1.0,0.0,0.0,6,5,-1,1,1,1,-1,0,5,4,0,1,477.0,244.0,100.0,-358.0,-3.0,-60.0,-1.0,-2.0,-1.0,-2.0,2.0,-3.0,5.0,6.0,-1.0,11.0,9.0,-5.0,1.0,1,0
427,0.0,6.0,7.0,-1.0,-1.0,0.0,0.0,-6,-5,1,-1,-1,-1,1,0,-5,-4,0,-1,-477.0,-244.0,-100.0,358.0,3.0,60.0,1.0,2.0,1.0,2.0,-2.0,3.0,-5.0,-6.0,1.0,-11.0,-9.0,5.0,0.0,0,1
450,1.0,8.0,8.0,-2.0,-2.0,-3.0,-1.0,-6,-6,-9,-4,0,0,-3,-1,-6,-6,-6,-3,286.0,249.0,76.0,15.0,60.0,-130.0,-1.0,3.0,1.0,-2.0,-2.0,-2.0,7.0,12.0,-3.0,4.0,0.0,-5.0,0.0,1,2
451,0.0,8.0,8.0,2.0,2.0,3.0,1.0,6,6,9,4,0,0,3,1,6,6,6,3,-286.0,-249.0,-76.0,-15.0,-60.0,130.0,1.0,-3.0,-1.0,2.0,2.0,2.0,-7.0,-12.0,3.0,-4.0,0.0,5.0,1.0,2,1
462,1.0,7.0,9.0,1.0,1.0,0.0,1.0,3,3,-1,3,0,0,-1,2,3,3,0,1,17.0,-52.0,55.0,367.0,142.0,-14.0,-7.0,-7.0,0.0,7.0,2.0,0.0,21.0,18.0,2.0,2.0,-7.0,-9.0,1.0,2,0
463,0.0,9.0,7.0,-1.0,-1.0,0.0,-1.0,-3,-3,1,-3,0,0,1,-2,-3,-3,0,-1,-17.0,52.0,-55.0,-367.0,-142.0,14.0,7.0,7.0,0.0,-7.0,-2.0,0.0,-21.0,-18.0,-2.0,-2.0,7.0,9.0,0.0,0,2
472,1.0,7.0,11.0,0.0,0.0,0.0,0.0,3,3,2,1,1,1,1,1,2,2,1,0,-144.0,-58.0,-26.0,-276.0,-247.0,-100.0,5.0,8.0,2.0,-2.0,1.0,0.0,11.0,6.0,0.0,10.0,14.0,0.0,1.0,2,1
473,0.0,11.0,7.0,0.0,0.0,0.0,0.0,-3,-3,-2,-1,-1,-1,-1,-1,-2,-2,-1,0,144.0,58.0,26.0,276.0,247.0,100.0,-5.0,-8.0,-2.0,2.0,-1.0,0.0,-11.0,-6.0,0.0,-10.0,-14.0,0.0,0.0,1,2
484,1.0,7.0,11.0,4.0,4.0,2.0,0.0,14,14,8,3,5,5,1,0,9,9,7,3,140.0,-42.0,-10.0,102.0,87.0,17.0,-16.0,-12.0,-4.0,3.0,0.0,-1.0,35.0,29.0,-1.0,4.0,0.0,0.0,1.0,2,0
485,0.0,11.0,7.0,-4.0,-4.0,-2.0,0.0,-14,-14,-8,-3,-5,-5,-1,0,-9,-9,-7,-3,-140.0,42.0,10.0,-102.0,-87.0,-17.0,16.0,12.0,4.0,-3.0,0.0,1.0,-35.0,-29.0,1.0,-4.0,0.0,0.0,0.0,0,2
496,1.0,6.0,7.0,3.0,3.0,2.0,1.0,10,9,7,2,2,3,2,2,8,6,5,0,-74.0,-30.0,44.0,-12.0,-21.0,-143.0,-2.0,-5.0,3.0,-2.0,0.0,-3.0,-4.0,-19.0,-9.0,-9.0,-14.0,-12.0,1.0,1,0
497,0.0,7.0,6.0,-3.0,-3.0,-2.0,-1.0,-10,-9,-7,-2,-2,-3,-2,-2,-8,-6,-5,0,74.0,30.0,-44.0,12.0,21.0,143.0,2.0,5.0,-3.0,2.0,0.0,3.0,4.0,19.0,9.0,9.0,14.0,12.0,0.0,0,1
500,1.0,8.0,7.0,4.0,3.0,2.0,1.0,21,16,11,3,18,15,11,3,3,1,0,0,459.0,262.0,122.0,905.0,561.0,127.0,-11.0,-10.0,-3.0,-3.0,-2.0,-1.0,22.0,20.0,5.0,-3.0,0.0,-7.0,1.0,3,0
501,0.0,7.0,8.0,-4.0,-3.0,-2.0,-1.0,-21,-16,-11,-3,-18,-15,-11,-3,-3,-1,0,0,-459.0,-262.0,-122.0,-905.0,-561.0,-127.0,11.0,10.0,3.0,3.0,2.0,1.0,-22.0,-20.0,-5.0,3.0,0.0,7.0,0.0,0,3
506,1.0,8.0,15.0,-2.0,-2.0,-1.0,0.0,-4,-4,-2,0,-2,-2,-2,0,-2,-2,0,0,-192.0,-50.0,-29.0,291.0,188.0,16.0,9.0,7.0,0.0,-1.0,-1.0,-2.0,9.0,1.0,-7.0,-2.0,-4.0,0.0,1.0,2,1
507,0.0,15.0,8.0,2.0,2.0,1.0,0.0,4,4,2,0,2,2,2,0,2,2,0,0,192.0,50.0,29.0,-291.0,-188.0,-16.0,-9.0,-7.0,0.0,1.0,1.0,2.0,-9.0,-1.0,7.0,2.0,4.0,0.0,0.0,1,2
508,1.0,7.0,7.0,3.0,3.0,1.0,1.0,11,11,3,4,10,10,5,3,1,1,-2,1,-208.0,-38.0,-1.0,-143.0,-160.0,-75.0,9.0,2.0,-2.0,-1.0,-2.0,-1.0,32.0,11.0,4.0,-1.0,-9.0,-5.0,1.0,6,1
509,0.0,7.0,7.0,-3.0,-3.0,-1.0,-1.0,-11,-11,-3,-4,-10,-10,-5,-3,-1,-1,2,-1,208.0,38.0,1.0,143.0,160.0,75.0,-9.0,-2.0,2.0,1.0,2.0,1.0,-32.0,-11.0,-4.0,1.0,9.0,5.0,0.0,1,6
512,1.0,7.0,7.0,-5.0,-5.0,-3.0,-1.0,-25,-24,-17,-3,-10,-11,-5,-1,-15,-13,-12,-2,600.0,246.0,105.0,-274.0,-235.0,-70.0,7.0,6.0,-2.0,2.0,-4.0,0.0,-33.0,-25.0,-6.0,7.0,-10.0,-10.0,0.0,1,2
513,0.0,7.0,7.0,5.0,5.0,3.0,1.0,25,24,17,3,10,11,5,1,15,13,12,2,-600.0,-246.0,-105.0,274.0,235.0,70.0,-7.0,-6.0,2.0,-2.0,4.0,0.0,33.0,25.0,6.0,-7.0,10.0,10.0,1.0,2,1
516,1.0,8.0,7.0,4.0,3.0,2.0,1.0,23,20,11,5,15,13,10,3,8,7,1,2,348.0,148.0,-29.0,449.0,198.0,-114.0,-7.0,-4.0,1.0,2.0,-3.0,0.0,10.0,9.0,4.0,5.0,-6.0,-6.0,1.0,3,0
517,0.0,7.0,8.0,-4.0,-3.0,-2.0,-1.0,-23,-20,-11,-5,-15,-13,-10,-3,-8,-7,-1,-2,-348.0,-148.0,29.0,-449.0,-198.0,114.0,7.0,4.0,-1.0,-2.0,3.0,0.0,-10.0,-9.0,-4.0,-5.0,6.0,6.0,0.0,0,3
518,1.0,7.0,8.0,0.0,-1.0,-1.0,-1.0,-6,-9,-8,-4,-2,-5,-6,-3,-4,-4,-2,-1,-277.0,-179.0,-63.0,299.0,227.0,99.0,-13.0,-6.0,-2.0,7.0,4.0,1.0,-34.0,-24.0,-15.0,-10.0,-7.0,-16.0,0.0,0,2
519,0.0,8.0,7.0,0.0,1.0,1.0,1.0,6,9,8,4,2,5,6,3,4,4,2,1,277.0,179.0,63.0,-299.0,-227.0,-99.0,13.0,6.0,2.0,-7.0,-4.0,-1.0,34.0,24.0,15.0,10.0,7.0,16.0,1.0,2,0
520,1.0,11.0,8.0,-3.0,-3.0,-2.0,-1.0,-15,-15,-11,-2,-7,-7,-4,-2,-8,-8,-7,0,-42.0,-110.0,-29.0,218.0,-78.0,-10.0,2.0,-1.0,-1.0,5.0,5.0,4.0,-6.0,-5.0,-9.0,-5.0,1.0,1.0,0.0,1,2
521,0.0,8.0,11.0,3.0,3.0,2.0,1.0,15,15,11,2,7,7,4,2,8,8,7,0,42.0,110.0,29.0,-218.0,78.0,10.0,-2.0,1.0,1.0,-5.0,-5.0,-4.0,6.0,5.0,9.0,5.0,-1.0,-1.0,1.0,2,1
524,1.0,7.0,7.0,0.0,1.0,1.0,0.0,8,9,9,0,3,4,4,0,5,5,5,0,-9.0,36.0,-13.0,-204.0,-98.0,-45.0,4.0,1.0,2.0,-4.0,-1.0,0.0,25.0,1.0,-1.0,-8.0,4.0,-6.0,1.0,3,0
525,0.0,7.0,7.0,0.0,-1.0,-1.0,0.0,-8,-9,-9,0,-3,-4,-4,0,-5,-5,-5,0,9.0,-36.0,13.0,204.0,98.0,45.0,-4.0,-1.0,-2.0,4.0,1.0,0.0,-25.0,-1.0,1.0,8.0,-4.0,6.0,0.0,0,3
528,1.0,14.0,7.0,-1.0,0.0,0.0,0.0,1,5,0,-1,-2,1,0,-1,3,4,0,0,-262.0,-144.0,-53.0,344.0,94.0,-23.0,-1.0,1.0,2.0,1.0,1.0,-2.0,7.0,1.0,2.0,-2.0,-25.0,-22.0,0.0,2,4
529,0.0,7.0,14.0,1.0,0.0,0.0,0.0,-1,-5,0,1,2,-1,0,1,-3,-4,0,0,262.0,144.0,53.0,-344.0,-94.0,23.0,1.0,-1.0,-2.0,-1.0,-1.0,2.0,-7.0,-1.0,-2.0,2.0,25.0,22.0,1.0,4,2
530,1.0,13.0,12.0,2.0,2.0,1.0,0.0,8,9,5,0,2,2,1,0,6,7,4,0,5.0,86.0,39.0,401.0,441.0,249.0,-3.0,-7.0,-4.0,-1.0,-1.0,2.0,-17.0,-7.0,-2.0,-20.0,-20.0,-15.0,1.0,2,1
531,0.0,12.0,13.0,-2.0,-2.0,-1.0,0.0,-8,-9,-5,0,-2,-2,-1,0,-6,-7,-4,0,-5.0,-86.0,-39.0,-401.0,-441.0,-249.0,3.0,7.0,4.0,1.0,1.0,-2.0,17.0,7.0,2.0,20.0,20.0,15.0,0.0,1,2
534,1.0,13.0,14.0,-3.0,-2.0,-2.0,-1.0,-6,-5,-4,-3,-2,-1,0,0,-4,-4,-4,-3,163.0,102.0,-34.0,-209.0,-67.0,-26.0,17.0,6.0,0.0,-5.0,-3.0,0.0,-34.0,-25.0,-9.0,-24.0,-19.0,-11.0,1.0,1,0
535,0.0,14.0,13.0,3.0,2.0,2.0,1.0,6,5,4,3,2,1,0,0,4,4,4,3,-163.0,-102.0,34.0,209.0,67.0,26.0,-17.0,-6.0,0.0,5.0,3.0,0.0,34.0,25.0,9.0,24.0,19.0,11.0,0.0,0,1
536,1.0,21.0,20.0,0.0,1.0,1.0,1.0,3,5,4,4,2,3,3,1,1,2,1,3,-189.0,-100.0,11.0,105.0,-163.0,-58.0,1.0,4.0,-2.0,9.0,6.0,8.0,7.0,-4.0,5.0,16.0,10.0,5.0,1.0,3,2
537,0.0,20.0,21.0,0.0,-1.0,-1.0,-1.0,-3,-5,-4,-4,-2,-3,-3,-1,-1,-2,-1,-3,189.0,100.0,-11.0,-105.0,163.0,58.0,-1.0,-4.0,2.0,-9.0,-6.0,-8.0,-7.0,4.0,-5.0,-16.0,-10.0,-5.0,0.0,2,3
544,1.0,14.0,14.0,-4.0,-4.0,-2.0,0.0,-22,-20,-14,-3,-12,-10,-6,0,-10,-10,-8,-3,-305.0,-228.0,-73.0,-202.0,-151.0,-15.0,7.0,0.0,-3.0,2.0,3.0,-1.0,-21.0,-10.0,-1.0,-3.0,2.0,-4.0,1.0,2,1
545,0.0,14.0,14.0,4.0,4.0,2.0,0.0,22,20,14,3,12,10,6,0,10,10,8,3,305.0,228.0,73.0,202.0,151.0,15.0,-7.0,0.0,3.0,-2.0,-3.0,1.0,21.0,10.0,1.0,3.0,-2.0,4.0,0.0,1,2
546,1.0,14.0,14.0,3.0,3.0,2.0,0.0,22,22,16,0,15,15,9,-1,7,7,7,1,-204.0,-82.0,-37.0,993.0,404.0,139.0,-7.0,-1.0,0.0,-5.0,-5.0,-2.0,70.0,34.0,10.0,3.0,0.0,-13.0,1.0,7,2
547,0.0,14.0,14.0,-3.0,-3.0,-2.0,0.0,-22,-22,-16,0,-15,-15,-9,1,-7,-7,-7,-1,204.0,82.0,37.0,-993.0,-404.0,-139.0,7.0,1.0,0.0,5.0,5.0,2.0,-70.0,-34.0,-10.0,-3.0,0.0,13.0,0.0,2,7
552,1.0,14.0,13.0,-2.0,-2.0,-1.0,-1.0,-5,-5,0,-3,-2,-2,2,-1,-3,-3,-2,-2,43.0,-6.0,59.0,-499.0,-313.0,-89.0,2.0,5.0,4.0,5.0,6.0,3.0,-32.0,-19.0,4.0,-9.0,-20.0,-20.0,0.0,1,2
553,0.0,13.0,14.0,2.0,2.0,1.0,1.0,5,5,0,3,2,2,-2,1,3,3,2,2,-43.0,6.0,-59.0,499.0,313.0,89.0,-2.0,-5.0,-4.0,-5.0,-6.0,-3.0,32.0,19.0,-4.0,9.0,20.0,20.0,1.0,2,1
554,1.0,28.0,14.0,-6.0,-4.0,-2.0,-1.0,-29,-24,-11,-5,-23,-18,-10,-6,-6,-6,-1,1,-423.0,-214.0,-49.0,-88.0,-103.0,-2.0,1.0,-2.0,1.0,1.0,3.0,0.0,-58.0,-31.0,-2.0,-15.0,2.0,6.0,0.0,1,2
555,0.0,14.0,28.0,6.0,4.0,2.0,1.0,29,24,11,5,23,18,10,6,6,6,1,-1,423.0,214.0,49.0,88.0,103.0,2.0,-1.0,2.0,-1.0,-1.0,-3.0,0.0,58.0,31.0,2.0,15.0,-2.0,-6.0,1.0,2,1
556,1.0,21.0,13.0,1.0,1.0,1.0,0.0,5,3,2,-1,-1,-2,-2,-2,6,5,4,1,586.0,362.0,90.0,240.0,194.0,159.0,-17.0,-11.0,-4.0,1.0,1.0,-1.0,-19.0,-22.0,-20.0,11.0,5.0,-2.0,0.0,1,2
557,0.0,13.0,21.0,-1.0,-1.0,-1.0,0.0,-5,-3,-2,1,1,2,2,2,-6,-5,-4,-1,-586.0,-362.0,-90.0,-240.0,-194.0,-159.0,17.0,11.0,4.0,-1.0,-1.0,1.0,19.0,22.0,20.0,-11.0,-5.0,2.0,1.0,2,1
558,1.0,14.0,13.0,2.0,1.0,1.0,0.0,15,10,8,0,11,8,7,0,4,2,1,0,-210.0,-202.0,-63.0,612.0,326.0,97.0,1.0,-1.0,-1.0,3.0,1.0,2.0,7.0,-10.0,-1.0,12.0,4.0,0.0,0.0,2,3
559,0.0,13.0,14.0,-2.0,-1.0,-1.0,0.0,-15,-10,-8,0,-11,-8,-7,0,-4,-2,-1,0,210.0,202.0,63.0,-612.0,-326.0,-97.0,-1.0,1.0,1.0,-3.0,-1.0,-2.0,-7.0,10.0,1.0,-12.0,-4.0,0.0,1.0,3,2
560,1.0,14.0,20.0,-2.0,-1.0,1.0,1.0,-7,-3,6,3,-10,-7,0,0,3,4,6,3,-187.0,-160.0,8.0,-410.0,-139.0,2.0,-4.0,-6.0,-2.0,-4.0,-1.0,-1.0,-17.0,-15.0,-3.0,-18.0,-11.0,-8.0,0.0,0,2
561,0.0,20.0,14.0,2.0,1.0,-1.0,-1.0,7,3,-6,-3,10,7,0,0,-3,-4,-6,-3,187.0,160.0,-8.0,410.0,139.0,-2.0,4.0,6.0,2.0,4.0,1.0,1.0,17.0,15.0,3.0,18.0,11.0,8.0,1.0,2,0
564,1.0,20.0,21.0,0.0,0.0,0.0,0.0,0,-3,0,-1,4,2,2,0,-4,-5,-2,-1,382.0,188.0,56.0,-517.0,-195.0,-35.0,0.0,-6.0,-3.0,0.0,2.0,2.0,-16.0,-10.0,-4.0,9.0,11.0,0.0,1.0,1,0
565,0.0,21.0,20.0,0.0,0.0,0.0,0.0,0,3,0,1,-4,-2,-2,0,4,5,2,1,-382.0,-188.0,-56.0,517.0,195.0,35.0,0.0,6.0,3.0,0.0,-2.0,-2.0,16.0,10.0,4.0,-9.0,-11.0,0.0,0.0,0,1
566,1.0,13.0,14.0,3.0,2.0,0.0,0.0,13,7,-2,0,4,4,1,1,9,3,-3,-1,212.0,87.0,27.0,-30.0,-169.0,10.0,-5.0,0.0,-1.0,-5.0,-1.0,-2.0,10.0,2.0,8.0,-9.0,-12.0,0.0,1.0,3,1
567,0.0,14.0,13.0,-3.0,-2.0,0.0,0.0,-13,-7,2,0,-4,-4,-1,-1,-9,-3,3,1,-212.0,-87.0,-27.0,30.0,169.0,-10.0,5.0,0.0,1.0,5.0,1.0,2.0,-10.0,-2.0,-8.0,9.0,12.0,0.0,0.0,1,3
570,1.0,21.0,14.0,2.0,1.0,0.0,0.0,-1,0,-2,-1,2,-1,0,1,-3,1,-2,-2,202.0,191.0,12.0,-254.0,-174.0,-161.0,4.0,4.0,2.0,-11.0,-9.0,-2.0,17.0,6.0,0.0,0.0,-2.0,-6.0,1.0,2,0
571,0.0,14.0,21.0,-2.0,-1.0,0.0,0.0,1,0,2,1,-2,1,0,-1,3,-1,2,2,-202.0,-191.0,-12.0,254.0,174.0,161.0,-4.0,-4.0,-2.0,11.0,9.0,2.0,-17.0,-6.0,0.0,0.0,2.0,6.0,0.0,0,2
572,1.0,13.0,13.0,-2.0,-1.0,0.0,0.0,-10,-7,1,-1,-11,-6,-1,-1,1,-1,2,0,-223.0,-198.0,-163.0,-533.0,-227.0,-87.0,15.0,10.0,2.0,-5.0,-4.0,-2.0,18.0,7.0,-1.0,15.0,-3.0,-19.0,0.0,0,1
573,0.0,13.0,13.0,2.0,1.0,0.0,0.0,10,7,-1,1,11,6,1,1,-1,1,-2,0,223.0,198.0,163.0,533.0,227.0,87.0,-15.0,-10.0,-2.0,5.0,4.0,2.0,-18.0,-7.0,1.0,-15.0,3.0,19.0,1.0,1,0
574,1.0,14.0,15.0,0.0,0.0,0.0,-1.0,1,2,-2,-5,-3,0,-4,-3,4,2,2,-2,150.0,103.0,19.0,306.0,224.0,108.0,-6.0,-4.0,2.0,-6.0,-4.0,1.0,18.0,6.0,2.0,1.0,-11.0,-9.0,1.0,2,1
575,0.0,15.0,14.0,0.0,0.0,0.0,1.0,-1,-2,2,5,3,0,4,3,-4,-2,-2,2,-150.0,-103.0,-19.0,-306.0,-224.0,-108.0,6.0,4.0,-2.0,6.0,4.0,-1.0,-18.0,-6.0,-2.0,-1.0,11.0,9.0,0.0,1,2
578,1.0,14.0,15.0,2.0,2.0,0.0,0.0,-1,3,-3,-2,0,-1,-2,0,-1,4,-1,-2,61.0,-23.0,-145.0,-363.0,-280.0,-121.0,-2.0,1.0,2.0,2.0,1.0,-1.0,11.0,6.0,5.0,7.0,3.0,-14.0,0.0,2,3
579,0.0,15.0,14.0,-2.0,-2.0,0.0,0.0,1,-3,3,2,0,1,2,0,1,-4,1,2,-61.0,23.0,145.0,363.0,280.0,121.0,2.0,-1.0,-2.0,-2.0,-1.0,1.0,-11.0,-6.0,-5.0,-7.0,-3.0,14.0,1.0,3,2
580,1.0,15.0,22.0,2.0,2.0,2.0,1.0,5,5,6,2,-1,-1,1,-1,6,6,5,3,512.0,319.0,135.0,173.0,109.0,-20.0,1.0,-3.0,-2.0,-10.0,-6.0,-2.0,-1.0,3.0,5.0,-15.0,-11.0,-2.0,1.0,2,1
581,0.0,22.0,15.0,-2.0,-2.0,-2.0,-1.0,-5,-5,-6,-2,1,1,-1,1,-6,-6,-5,-3,-512.0,-319.0,-135.0,-173.0,-109.0,20.0,-1.0,3.0,2.0,10.0,6.0,2.0,1.0,-3.0,-5.0,15.0,11.0,2.0,0.0,1,2
584,1.0,29.0,14.0,-1.0,-1.0,-1.0,1.0,-1,-3,-4,3,-7,-6,-5,-1,6,3,1,4,283.0,0.0,-120.0,53.0,205.0,50.0,-7.0,-8.0,-6.0,-5.0,-3.0,-2.0,-15.0,-16.0,-2.0,-13.0,-8.0,-10.0,1.0,2,0
585,0.0,14.0,29.0,1.0,1.0,1.0,-1.0,1,3,4,-3,7,6,5,1,-6,-3,-1,-4,-283.0,0.0,120.0,-53.0,-205.0,-50.0,7.0,8.0,6.0,5.0,3.0,2.0,15.0,16.0,2.0,13.0,8.0,10.0,0.0,0,2
588,1.0,15.0,21.0,-3.0,-3.0,-1.0,-1.0,-14,-13,-8,-4,-4,-4,-3,-2,-10,-9,-5,-2,-26.0,-22.0,12.0,64.0,-54.0,65.0,7.0,6.0,-1.0,3.0,2.0,2.0,-6.0,5.0,2.0,-5.0,-10.0,0.0,0.0,0,2
589,0.0,21.0,15.0,3.0,3.0,1.0,1.0,14,13,8,4,4,4,3,2,10,9,5,2,26.0,22.0,-12.0,-64.0,54.0,-65.0,-7.0,-6.0,1.0,-3.0,-2.0,-2.0,6.0,-5.0,-2.0,5.0,10.0,0.0,1.0,2,0
592,1.0,14.0,14.0,2.0,3.0,2.0,1.0,11,12,6,3,3,5,3,2,8,7,3,1,-515.0,-297.0,-128.0,-28.0,81.0,28.0,4.0,3.0,-2.0,2.0,2.0,1.0,23.0,12.0,10.0,-25.0,-19.0,-14.0,1.0,3,2
593,0.0,14.0,14.0,-2.0,-3.0,-2.0,-1.0,-11,-12,-6,-3,-3,-5,-3,-2,-8,-7,-3,-1,515.0,297.0,128.0,28.0,-81.0,-28.0,-4.0,-3.0,2.0,-2.0,-2.0,-1.0,-23.0,-12.0,-10.0,25.0,19.0,14.0,0.0,2,3
596,1.0,15.0,22.0,0.0,0.0,-2.0,-1.0,-10,-5,-10,-7,-4,-5,-6,-4,-6,0,-4,-3,28.0,-53.0,8.0,-173.0,-109.0,-29.0,18.0,12.0,8.0,-2.0,-3.0,-1.0,-5.0,-7.0,-7.0,-13.0,-7.0,0.0,0.0,2,5
597,0.0,22.0,15.0,0.0,0.0,2.0,1.0,10,5,10,7,4,5,6,4,6,0,4,3,-28.0,53.0,-8.0,173.0,109.0,29.0,-18.0,-12.0,-8.0,2.0,3.0,1.0,5.0,7.0,7.0,13.0,7.0,0.0,1.0,5,2
598,1.0,6.0,6.0,1.0,0.0,-1.0,0.0,4,1,-4,1,0,-2,-4,-1,4,3,0,2,-61.0,-78.0,31.0,-22.0,-23.0,74.0,-5.0,5.0,0.0,-11.0,-8.0,-2.0,21.0,16.0,10.0,-17.0,-15.0,-10.0,1.0,2,0
599,0.0,6.0,6.0,-1.0,0.0,1.0,0.0,-4,-1,4,-1,0,2,4,1,-4,-3,0,-2,61.0,78.0,-31.0,22.0,23.0,-74.0,5.0,-5.0,0.0,11.0,8.0,2.0,-21.0,-16.0,-10.0,17.0,15.0,10.0,0.0,0,2
600,1.0,6.0,5.0,2.0,1.0,0.0,0.0,3,2,0,0,5,4,2,1,-2,-2,-2,-1,-55.0,21.0,33.0,-154.0,-79.0,90.0,1.0,2.0,-7.0,-1.0,0.0,2.0,24.0,18.0,5.0,8.0,-2.0,6.0,0.0,0,1
601,0.0,5.0,6.0,-2.0,-1.0,0.0,0.0,-3,-2,0,0,-5,-4,-2,-1,2,2,2,1,55.0,-21.0,-33.0,154.0,79.0,-90.0,-1.0,-2.0,7.0,1.0,0.0,-2.0,-24.0,-18.0,-5.0,-8.0,2.0,-6.0,1.0,1,0
602,1.0,20.0,19.0,0.0,0.0,1.0,1.0,-3,-3,2,3,0,0,1,1,-3,-3,1,2,626.0,345.0,137.0,164.0,216.0,61.0,-7.0,-6.0,-7.0,3.0,1.0,1.0,1.0,-4.0,0.0,-2.0,8.0,5.0,0.0,0,3
603,0.0,19.0,20.0,0.0,0.0,-1.0,-1.0,3,3,-2,-3,0,0,-1,-1,3,3,-1,-2,-626.0,-345.0,-137.0,-164.0,-216.0,-61.0,7.0,6.0,7.0,-3.0,-1.0,-1.0,-1.0,4.0,0.0,2.0,-8.0,-5.0,1.0,3,0
604,1.0,7.0,7.0,0.0,-1.0,-1.0,-1.0,5,5,6,-2,5,1,1,-1,0,4,5,-1,-99.0,-46.0,-40.0,408.0,239.0,82.0,-3.0,-2.0,-2.0,-1.0,-2.0,-2.0,-9.0,1.0,0.0,5.0,-12.0,-9.0,1.0,4,2
605,0.0,7.0,7.0,0.0,1.0,1.0,1.0,-5,-5,-6,2,-5,-1,-1,1,0,-4,-5,1,99.0,46.0,40.0,-408.0,-239.0,-82.0,3.0,2.0,2.0,1.0,2.0,2.0,9.0,-1.0,0.0,-5.0,12.0,9.0,0.0,2,4
606,1.0,21.0,7.0,0.0,0.0,1.0,0.0,1,1,1,0,1,1,0,0,0,0,1,0,-364.0,-304.0,-54.0,-469.0,-320.0,-111.0,2.0,2.0,4.0,-9.0,-8.0,-7.0,20.0,3.0,-4.0,-3.0,-2.0,0.0,0.0,1,2
607,0.0,7.0,21.0,0.0,0.0,-1.0,0.0,-1,-1,-1,0,-1,-1,0,0,0,0,-1,0,364.0,304.0,54.0,469.0,320.0,111.0,-2.0,-2.0,-4.0,9.0,8.0,7.0,-20.0,-3.0,4.0,3.0,2.0,0.0,1.0,2,1
608,1.0,6.0,27.0,2.0,1.0,0.0,0.0,-2,-3,-8,-1,-2,-3,-3,-1,0,0,-5,0,277.0,150.0,21.0,-33.0,-145.0,13.0,7.0,7.0,4.0,-4.0,-2.0,-2.0,13.0,8.0,9.0,2.0,-16.0,-13.0,0.0,1,5
609,0.0,27.0,6.0,-2.0,-1.0,0.0,0.0,2,3,8,1,2,3,3,1,0,0,5,0,-277.0,-150.0,-21.0,33.0,145.0,-13.0,-7.0,-7.0,-4.0,4.0,2.0,2.0,-13.0,-8.0,-9.0,-2.0,16.0,13.0,1.0,5,1
610,1.0,7.0,8.0,2.0,2.0,2.0,0.0,9,7,5,0,7,4,4,1,2,3,1,-1,183.0,83.0,23.0,-658.0,-404.0,-139.0,10.0,6.0,4.0,-1.0,3.0,0.0,32.0,25.0,5.0,-14.0,-7.0,-18.0,1.0,1,0
611,0.0,8.0,7.0,-2.0,-2.0,-2.0,0.0,-9,-7,-5,0,-7,-4,-4,-1,-2,-3,-1,1,-183.0,-83.0,-23.0,658.0,404.0,139.0,-10.0,-6.0,-4.0,1.0,-3.0,0.0,-32.0,-25.0,-5.0,14.0,7.0,18.0,0.0,0,1
612,1.0,7.0,7.0,1.0,1.0,0.0,0.0,-1,-3,-7,-4,2,2,1,2,-3,-5,-8,-6,271.0,141.0,18.0,-570.0,-382.0,-43.0,-3.0,-1.0,2.0,7.0,6.0,0.0,-18.0,-21.0,-5.0,12.0,12.0,0.0,0.0,1,2
613,0.0,7.0,7.0,-1.0,-1.0,0.0,0.0,1,3,7,4,-2,-2,-1,-2,3,5,8,6,-271.0,-141.0,-18.0,570.0,382.0,43.0,3.0,1.0,-2.0,-7.0,-6.0,0.0,18.0,21.0,5.0,-12.0,-12.0,0.0,1.0,2,1
614,1.0,27.0,7.0,2.0,2.0,1.0,-1.0,16,14,9,-2,4,4,1,-2,12,10,8,0,445.0,303.0,98.0,-298.0,-91.0,6.0,0.0,0.0,-1.0,-1.0,0.0,0.0,3.0,-8.0,-10.0,0.0,3.0,-10.0,1.0,1,0
615,0.0,7.0,27.0,-2.0,-2.0,-1.0,1.0,-16,-14,-9,2,-4,-4,-1,2,-12,-10,-8,0,-445.0,-303.0,-98.0,298.0,91.0,-6.0,0.0,0.0,1.0,1.0,0.0,0.0,-3.0,8.0,10.0,0.0,-3.0,10.0,0.0,0,1
