,Dom_Ext,CLB_Nb_jours,ADV_Nb_jours,Écart_Série_vic,Écart_Série_vic_5,Écart_Série_vic_3,Écart_Série_vic_1,Écart_Buts_diff,Écart_Buts_diff_5,Écart_Buts_diff_3,Écart_Buts_diff_1,Écart_Buts_pour,Écart_Buts_pour_5,Écart_Buts_pour_3,Écart_Buts_pour_1,Écart_Buts_contre,Écart_Buts_contre_5,Écart_Buts_contre_3,Écart_Buts_contre_1,Écart_Activité_att_5,Écart_Activité_att_3,Écart_Activité_att_1,Écart_Activité_def_5,Écart_Activité_def_3,Écart_Activité_def_1,Écart_Arrêts_5,Écart_Arrêts_3,Écart_Arrêts_1,Écart_Fautes_5,Écart_Fautes_3,Écart_Fautes_1,Écart_Passes_5,Écart_Passes_3,Écart_Passes_1,Écart_Tirs_5,Écart_Tirs_3,Écart_Tirs_1,[Résultat],[CLB_Buts],[ADV_Buts]
1618,1.0,5.0,7.0,-3.0,-2.0,-1.0,-1.0,-12,-4,-2,-3,-2,3,3,-2,-10,-7,-5,-1,376.0,265.0,10.0,78.0,-139.0,44.0,-6.0,-8.0,-4.0,2.0,2.0,-1.0,-3.0,-9.0,-2.0,1.0,-9.0,-9.0,1.0,2,1
1619,0.0,7.0,5.0,3.0,2.0,1.0,1.0,12,4,2,3,2,-3,-3,2,10,7,5,1,-376.0,-265.0,-10.0,-78.0,139.0,-44.0,6.0,8.0,4.0,-2.0,-2.0,1.0,3.0,9.0,2.0,-1.0,9.0,9.0,0.0,1,2
1620,1.0,6.0,7.0,-12.0,-2.0,0.0,0.0,-67,-18,-10,-3,-53,-12,-9,-2,-14,-6,-1,-1,342.0,198.0,69.0,-307.0,-189.0,-72.0,10.0,9.0,-2.0,1.0,2.0,0.0,-29.0,-6.0,-2.0,-30.0,-13.0,-4.0,0.0,0,3
1621,0.0,7.0,6.0,12.0,2.0,0.0,0.0,67,18,10,3,53,12,9,2,14,6,1,1,-342.0,-198.0,-69.0,307.0,189.0,72.0,-10.0,-9.0,2.0,-1.0,-2.0,0.0,29.0,6.0,2.0,30.0,13.0,4.0,1.0,3,0
1622,1.0,4.0,3.0,4.0,0.0,0.0,-1.0,29,3,5,-3,17,2,4,-1,12,1,1,-2,-37.0,-225.0,-154.0,479.0,392.0,206.0,-5.0,-3.0,0.0,5.0,1.0,0.0,53.0,21.0,-3.0,35.0,-6.0,-10.0,1.0,5,1
1623,0.0,3.0,4.0,-4.0,0.0,0.0,1.0,-29,-3,-5,3,-17,-2,-4,1,-12,-1,-1,2,37.0,225.0,154.0,-479.0,-392.0,-206.0,5.0,3.0,0.0,-5.0,-1.0,0.0,-53.0,-21.0,3.0,-35.0,6.0,10.0,0.0,1,5
1624,1.0,6.0,5.0,-3.0,-2.0,-2.0,-1.0,-22,-6,-5,-2,-15,-6,-4,-2,-7,0,-1,0,-127.0,-29.0,-6.0,-504.0,-374.0,-108.0,10.0,12.0,9.0,-2.0,-3.0,-2.0,-14.0,-8.0,-5.0,1.0,-3.0,-10.0,1.0,2,1
1625,0.0,5.0,6.0,3.0,2.0,2.0,1.0,22,6,5,2,15,6,4,2,7,0,1,0,127.0,29.0,6.0,504.0,374.0,108.0,-10.0,-12.0,-9.0,2.0,3.0,2.0,14.0,8.0,5.0,-1.0,3.0,10.0,0.0,1,2
1626,1.0,8.0,14.0,0.0,0.0,0.0,0.0,-5,2,-1,-1,0,-2,-3,-1,-5,4,2,0,203.0,59.0,-21.0,298.0,168.0,43.0,-1.0,-1.0,-2.0,0.0,-1.0,1.0,-11.0,-6.0,1.0,-19.0,-15.0,0.0,0.0,0,1
1627,0.0,14.0,8.0,0.0,0.0,0.0,0.0,5,-2,1,1,0,2,3,1,5,-4,-2,0,-203.0,-59.0,21.0,-298.0,-168.0,-43.0,1.0,1.0,2.0,0.0,1.0,-1.0,11.0,6.0,-1.0,19.0,15.0,0.0,1.0,1,0
