,0,36,116,158,277,463,565,634,807,955,1007,1057,1123,1223,1264,1439,1498,1547,1631,1695,2011,2152,2201,2351,2432,2523,2590,2652
Date,2017-08-04 18:45:00,2017-08-12 18:00:00,2017-08-20 19:00:00,2017-08-26 18:00:00,2017-09-15 18:45:00,2017-09-24 19:00:00,2017-10-14 18:00:00,2017-10-21 18:00:00,2017-11-04 19:00:00,2017-11-25 19:00:00,2017-11-29 18:00:00,2017-12-02 19:00:00,2017-12-09 19:00:00,2017-12-16 19:00:00,2017-12-20 19:50:00,2018-01-14 14:00:00,2018-01-20 19:00:00,2018-01-27 19:00:00,2018-02-03 19:00:00,2018-02-10 16:00:00,2018-03-11 20:00:00,2018-04-01 19:00:00,2018-04-07 18:00:00,2018-04-21 18:00:00,2018-04-29 13:00:00,2018-05-06 15:00:00,2018-05-12 19:00:00,2018-05-19 19:00:00
Équipe_id,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
Match_id,759,746,730,727,709,690,678,665,647,624,616,603,597,586,579,562,544,537,526,519,470,451,447,427,412,406,392,388
Club,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse
(Fautes_Défenseurs_2H),0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(Fautes_Défenseurs_1H),0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(Fautes_Attaquants_2H),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
(Fautes_Attaquants_1H),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
(Arrêts_Gardiens_2H),2.0,0.0,2.0,1.0,3.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,5.0,0.0,3.0
(Arrêts_Gardiens_1H),2.0,1.0,7.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,6.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0
(Activité_Équipe_2H),228.0,306.0,253.0,253.0,354.0,325.0,377.0,327.0,413.0,371.0,279.0,342.0,354.0,358.0,428.0,308.0,257.0,410.0,323.0,257.0,318.0,364.0,368.0,286.0,330.0,272.0,300.0,358.0
(Activité_Équipe_1H),236.0,321.0,261.0,300.0,329.0,316.0,447.0,411.0,376.0,315.0,306.0,306.0,328.0,278.0,288.0,285.0,306.0,397.0,243.0,258.0,298.0,294.0,359.0,368.0,317.0,258.0,299.0,370.0
(Activité_Milieux_2H),94.0,141.0,61.0,68.0,156.0,101.0,164.0,110.0,119.0,114.0,64.0,88.0,96.0,113.0,121.0,110.0,121.0,180.0,106.0,67.0,111.0,123.0,99.0,113.0,78.0,90.0,91.0,127.0
(Activité_Milieux_1H),93.0,142.0,92.0,100.0,114.0,130.0,162.0,185.0,125.0,57.0,99.0,96.0,102.0,90.0,86.0,112.0,117.0,174.0,74.0,68.0,82.0,104.0,109.0,117.0,94.0,86.0,100.0,147.0
(Activité_Défenseurs_2H),79.0,82.0,99.0,88.0,141.0,133.0,157.0,143.0,168.0,139.0,104.0,149.0,122.0,138.0,212.0,119.0,85.0,167.0,103.0,95.0,121.0,141.0,150.0,100.0,141.0,126.0,113.0,120.0
(Activité_Défenseurs_1H),84.0,114.0,88.0,119.0,133.0,137.0,189.0,198.0,141.0,110.0,106.0,140.0,135.0,109.0,148.0,104.0,130.0,170.0,76.0,75.0,119.0,119.0,124.0,146.0,113.0,76.0,103.0,142.0
